Quantity,Manufacture Part Number,Manufacturer(optional),Description(optional),LCSC Part Number(optional),Package(optional),Customer Part Number(optional)
1,TPS5450DDA,,IC1,C114425,SOIC127P600X170-9N,
2,Motor 1,,"J4,J5",C144395,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
5,10nF,,"C10,C13,C15,C16,C4",C1710,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
3,10K,,"R1,R3,R5",C17414,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1,1K,,R4,C17513,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1,300,,R7,C17617,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2,4.7k,,"R6,R9",C17673,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1,680,,R8,C17798,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1,MAX3232,,U1,C18261,SOIC-16_3.9x9.9mm_P1.27mm,
1,330uF,,C12,C19606,CP_Elec_10x10.5,
1,SS54,,D1,C22452,DO-214AC,
1,74LVC1G125,,U4,C23654,SOT-23-5,
2,TMC2209 Motor 1,,"J2,J3",C27438,Conn_StepStick_smaller_hole,
2,100uF,,"C8,C9",C2836442,CP_Elec_6.3x7.7,
1,SW_Push,,SW1,C2837532,SW_Push_1P1T_NO_6x6mm_H9.5mm,
2,EXP1,,"J8,J9",C2977596,IDC-Header_2x05_P2.54mm_Vertical,
1,~,,J6,C426221,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,
1,Pico,,U2,C429947,RPi_Pico_SMD_TH,
1,15uH,,L1,C439295,Power Inductor 10x11,
1,DC12V/24V,,J1,C474952,TerminalBlock_bornier-2_P5.08mm,
6,100nF,,"C11,C14,C2,C5,C6,C7",C49678,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1,AMS1117-3.3,,U5,C5181460,SOT-223-3_TabPin2,
1,3.16K,,R2,C52603,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
3,~,,"JP5,JP6,JP7",C541857,PinHeader_1x03_P2.00mm_Vertical,
1,CAT24C256,,U3,C79987,SO-8_3.9x4.9mm_P1.27mm,
3,GREEN,,"D2,D3,D4",C84256,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
2,4.7uF,,"C1,C3",C98192,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
