Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x7.7,2,100uF,C2836442
"C10, C11, C12, C13, C14, C15, C16, C17, C18",0805,9,100nF,C49678
"C3, C4",0805,2,4.7uF,C98192
"C5, C7, C9",0805,3,10nF,C1710
C6,0805,1,1u,C28323
C8,CP_Elec_10x10.5,1,330uF,C19606
"D1, D2, D3",0805,3,GREEN,C84257
D4,DO-214AC,1,SS54,C22452
D5,0805,1,RED,C84256
D6,0805,1,BLUE,C965817
IC1,SOIC127P600X170-9N,1,TPS5450DDA,C114425
J1,IDC-Header_2x05_P2.54mm_Vertical,1,EXP1,C2977596
J10,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,~,C426221
"J11, J12, J13",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,3,Conn_01x03_Pin,C158003
J2,IDC-Header_2x05_P2.54mm_Vertical,1,EXP2,C2977596
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,C158003
J4,Conn_StepStick_smaller_hole,2,TMC2209 Motor 1,C27438
J5,Conn_StepStick_smaller_hole,2,TMC2209 Motor 2,C27438
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Motor 1,C144395
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Motor 2,C144395
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB_C_Receptacle_USB2.0_14P,C668623
J9,PinHeader_2x02_P2.00mm_Vertical,1,Conn_02x02_Odd_Even,C2935957
L1,Power Inductor 10x11,1,15uH,C151872
"R1, R11, R12, R8",0805,4,1K,C17513
R10,0805,1,3.16K,C52603
"R13, R14, R15, R16, R2",0805,5,4.7k,C17673
R3,0805,1,680,C17798
R4,0805,1,300,C17617
"R5, R6, R7, R9",0805,4,10K,C17414
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Push,C2837532
U1,RPi_Pico_SMD_TH,2,Pico,C429947
U2,SO-8_3.9x4.9mm_P1.27mm,1,CAT24C256,C79987
U3,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,C18261
"U5, U6, U7, U8",SOT-23-5,4,74LVC1G125,C23654
