Designator,Mid X,Mid Y,Rotation,Layer
C1,88.646,-119.634,90.0,top
C10,107.95,-87.376,270.0,top
C11,118.872,-86.868,270.0,top
C12,107.95,-91.694,270.0,top
C13,107.95,-96.012,90.0,top
C14,111.2305,-84.836,180.0,top
C15,108.204,-123.952,0.0,top
C16,115.57,-123.952,0.0,top
C17,115.57,-115.824,0.0,top
C18,108.204,-115.824,0.0,top
C2,88.646,-95.84,90.0,top
C3,140.97,-118.872,0.0,top
C4,140.97,-115.824,0.0,top
C5,140.97,-112.776,0.0,top
C6,137.668,-90.424,90.0,top
C7,135.636,-125.476,90.0,top
C8,137.668,-102.108,0.0,top
C9,137.668,-93.98,0.0,top
D1,133.604,-85.582,270.0,top
D2,129.794,-85.582,270.0,top
D3,125.984,-85.582,270.0,top
D4,138.684,-109.474,0.0,top
D5,94.742,-78.486,270.0,top
D6,99.06,-78.486,270.0,top
IC1,140.462,-125.222,0.0,top
J1,115.57,-134.6375,0.0,top
J10,152.3365,-104.14,90.0,top
J11,133.136,-135.661,0.0,top
J12,145.542,-135.644,0.0,top
J13,130.302,-79.223,180.0,top
J2,91.44,-134.6375,0.0,top
J3,86.36,-78.969,180.0,top
J4,94.9635,-93.14,90.0,top
J4,82.3285,-93.14,90.0,top
J5,82.3285,-116.83,90.0,top
J5,94.9635,-116.83,90.0,top
J6,75.159,-93.278,90.0,top
J7,75.159,-116.82,90.0,top
J8,141.986,-79.24799999999999,180.0,top
J9,150.892,-84.852,0.0,top
L1,131.7885,-117.133,90.0,top
R1,98.298,-91.694,90.0,top
R10,145.288,-123.698,90.0,top
R11,99.568,-83.058,0.0,top
R12,99.568,-86.614,0.0,top
R13,111.76,-120.142,270.0,top
R14,119.126,-120.142,270.0,top
R15,119.126,-111.76,270.0,top
R16,111.76,-111.76,270.0,top
R2,133.604,-89.9,270.0,top
R3,129.794,-89.9,270.0,top
R4,125.984,-89.9,270.0,top
R5,107.95,-101.346,270.0,top
R6,107.95,-105.41,90.0,top
R7,144.78,-85.344,0.0,top
R8,138.176,-85.344,0.0,top
R9,145.288,-128.016,90.0,top
SW1,155.194,-124.968,0.0,top
U1,104.156,-101.59,90.0,top
U1,121.905,-101.59,90.0,top
U2,113.538,-104.14,90.0,top
U3,143.002,-89.662,270.0,top
U4,113.473,-91.694,270.0,top
U5,108.204,-120.142,90.0,top
U6,115.57,-120.142,90.0,top
U7,115.57,-111.76,90.0,top
U8,108.204,-111.76,90.0,top
